BNP FP Equity,PX_LAST,6MO_PUT_IMP_VOL
2021215,27.87,44.295
2021216,27.35,44.295
2021217,28.43,44.295
2021218,29.08,44.295
2021219,29.46,44.295
2021220,30.15,44.295
2021221,31.16,44.295
2021222,31.33,44.295
2021223,31.84,44.295
2021224,31.26,44.295
2021225,31.28,44.295
2021226,31.31,44.295
2021227,31.61,44.295
2021228,33.36,44.295
2021229,32.71,44.295
2021230,32.21,44.295
2021231,31.55,44.295
2021232,30.82,44.295
2021233,31.25,44.295
2021234,30.96,44.295
2021235,30.91,44.295
2021236,30.41,44.295
2021237,29.74,44.295
2021238,29.94,44.295
2021239,30.45,44.295
2021240,30.3,44.295
2021241,30.15,44.295
2021242,30.05,44.295
2021243,29.42,44.295
2021244,29.46,44.295
2021245,28.33,44.295
2021246,28.73,44.295
2021247,28.99,44.295
2021248,29.16,44.295
2021249,31.01,44.295
2021250,31.28,44.295
2021251,30.94,44.295
2021252,31.33,44.295
2021253,31.26,44.295
2021254,32.07,44.295
2021255,32.64,44.295
2021256,32.74,44.295
2021257,31.95,44.295
2021258,32.53,44.295
2021259,32.8,44.295
2021260,33.05,44.295
2021261,31.68,44.295
2021262,31.49,44.295
2021263,31.17,44.295
2021264,31.04,44.295
2021265,30.63,44.295
2021266,30.32,44.295
2021267,30.24,44.295
2021268,30.54,44.295
2021269,30.23,44.295
2021270,29.77,44.295
2021271,30.16,44.295
2021272,30.07,44.295
2021273,30.36,44.295
2021274,30.81,44.295
2021275,31.04,44.295
2021276,31.32,44.295
2021277,31.46,44.295
2021278,32.63,44.295
2021279,33.55,44.295
2021280,34.25,44.295
2021281,34.09,44.295
2021282,34.44,44.295
2021283,34.09,44.295
2021284,33.47,44.295
2021285,34.16,44.295
2021286,33.31,44.295
2021287,33.35,44.295
2021288,33.84,44.295
2021289,33.37,44.295
2021290,32.99,44.295
2021291,31.85,44.295
2021292,30.93,44.295
2021293,30.23,44.295
2021294,30.5,44.295
2021295,30.09,44.295
2021296,31.24,44.295
2021297,32.77,44.295
2021298,33.13,44.295
2021299,33.34,44.295
2021300,34.3,44.295
2021301,28.33,44.295
2021302,26.54,44.295
2021303,27.58,44.295
2021304,28.41,44.295
2021305,28.59,44.295
2021306,28.7,44.295
2021307,28.2,44.295
2021308,28.13,44.295
2021309,27.58,44.295
2021310,27.68,44.295
2021311,28.63,44.295
2021312,28.95,44.295
2021313,30.44,44.295
2021314,29.84,44.295
2021315,30.84,44.295
2021316,30.76,44.295
2021317,30.53,44.295
2021318,30.47,44.295
2021319,30.76,44.295
2021320,30.93,44.295
2021321,31.21,44.295
2021322,31.05,44.295
2021323,30.84,44.295
2021324,31.28,44.295
2021325,30.81,44.295
2021326,31.89,44.295
2021327,31.42,44.295
2021328,30.06,44.295
2021329,30.22,44.295
2021330,30.6,44.295
2021331,31.53,44.295
2021332,31.92,44.295
2021333,32.22,44.295
2021334,32.09,44.295
2021335,32.36,44.295
2021336,32.12,44.295
